Year,Land(%),Rice prod,wheat prod,Rice imp,wheat imp,cereal prod,people drinking water,Undernourishment,Stocks(MT),Pop density,availability(g/capita/day),quality,cal per cap,MSP/100Kg(Wheat),Annual rainfall,per cap food prodn,Food bal(rice),Food bal(wheat),Food bal(cereals),Food bal(pulses),PCI GDP(Rs),Stocks(MT),MSP(wheat),MSP(Paddy),Wheat(imp),per cap food supply var
2001,60.70483218,139900000,69680896,63,1351,242963796,80.9,19.4,414.57,360.3798799,45,,2333,620,1105.2,1.9,74648926.41,65904575.57,215,7857088.01,23095,414.57,620,530,1351,20
2002,60.72938494,107730304,72766304,872,39150,206636708,81.4,21,414.57,366.5447254,45,,2285,620,981.9,1.9,74278224.97,66781235.11,962,8841138.75,23607,414.57,620,530,39150,23
2003,60.62478348,132789000,65760800,339,35097,236592700,81.9,22.2,414.57,372.673071,45,,2282,630,1243.6,7.3,74285575.4,64001624.1,598,6981938.97,25116,414.57,630,550,35097,43
2004,60.66716221,124697104,72156200,0,101075,229845504,82.4,22.8,414.57,378.7634753,45,,2256,640,1080.5,7.2,77792821.64,64343903.28,249,8436716.54,26629,414.57,640,560,101075,51
2005,60.58341377,137690096,68636896,256,37760,239997492,82.9,22.2,214.56,384.8118264,46,,2270,700,1208.3,6.5,80671503.01,62211281.7,250,8058968.63,28639,214.56,700,570,37760,49
2006,60.50941918,139136992,69354496,162,6079555,242785588,83.4,20.7,184.09,390.8185212,47,,2334,850,1161.6,5.9,80897157.87,66293141.93,249,8488563.06,30805,184.09,850,620,6079555,30
2007,60.4132262,144570000,75806704,145,2677833,260485904,83.8,19.2,200.4,396.7729069,49,,2400,1000,1179.3,4.6,82527334.67,69310825.03,796,8960576.75,33446,200.4,1000,745,2677833,25
2008,60.45930465,148036000,78570200,85,20,266835300,84.3,18.1,293.19,402.6472933,49,,2427,1080,1118,5.9,84857842.47,71361242.67,428,9093246.75,33987,293.19,1080,900,20,48
2009,60.56390611,135672992,80679400,66,164383,250783392,84.8,17.7,454.4,408.4065035,50,,2415,1100,953.7,6.9,85324915.32,69900492.13,14,9906155.5,36249,544.4,1100,1000,164383,60
2010,60.39741826,143963008,80803600,95,185255,267838308,85.3,17.5,515.6,414.0269176,51,,2442,1170,1215.5,5.6,86927534.5,72719309.68,159,9800336.3,39270,515.6,1170,1000,185255,49
2011,60.43004315,157900000,86874000,1093,25,287860000,85.7,17.4,544.9,419.494223,52,,2455,1285,1116.3,4.5,86477559.76,71866698.77,133,10906626.26,41255,544.9,1285,1080,25,25
2012,60.42062566,157800000,94880000,539,1569,293290000,86.2,16.7,671.1,424.8184112,52,,2435,1350,1054.7,4.5,86932927.66,70588767.94,369,8848304.61,64316,671.1,1350,1250,1569,14
2013,60.43946065,159200000,93510000,1323,11644,294909510,86.7,16,559.24,430.030441,52,,2459,1400,1092.5,4.4,87006361.36,75832545.95,333,9123247.55,71593,559.4,1400,1310,11644,31
2014,60.44719645,157200000,95850000,1727,,296010000,86.1,15.3,482.99,435.1754493,52,,2445,1450,1045.2,4.6,87554677.78,76824576.67,367,9023872.89,80388,482.99,1450,1360,,34
2015,60.44719645,156540000,86530000,1308,,284333000,87.6,14.8,439.8,440.286016,52,,2450,1485,1085,1.7,88234569.74,74586764.85,360,8933232.77,87748,439.8,1485,1410,,18
